Card Name,Cost,Power,Text,Reveal ID,End Turn ID,Discard ID,Played Here ID
Wooden Cow,1,1,Vanilla,0,0,0,0
Pegasus,3,5,Vanilla,0,0,0,0
Minotaur,5,9,Vanilla,0,0,0,0
Titan,6,12,Vanilla,0,0,0,0
Zeus,5,5,When Revealed: Lower the power of each card in your opponent's hand by 1.,1,0,0,0
Hera,5,5,When Revealed: Give cards in your hand +1 power.,2,0,0,0
Ares,3,1,When Revealed: Gain +2 power for each enemy card here.,3,0,0,0
Midas,4,3,When Revealed: Set ALL cards here to 3 power.,4,0,0,0
Aphrodite,4,4,When Revealed: Lower the power of each enemy card here by 1.,5,0,0,0
Sword of Damocles,4,9,End of Turn: Loses 1 power if not winning this location.,0,1,0,0
Icarus,2,1,End of Turn: Gains +1 power; but is discarded when its power is greater than 7.,0,2,0,0
Hydra,3,4,Add two copies to your hand when this card is discarded.,0,0,1,0
Medusa,3,2,When ANY other card is played here; lower that card's power by 1.,0,0,0,1
Athena,5,5,Gain +1 power when you play another card here.,0,0,0,2
